IMDb_Rating,Popularity,Vote_Count,Vote_Average,Winner,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress
7.4,12.635,117,7.1,0,False,False,False,False,False,False,False,True,False
7.4,12.635,117,7.1,0,False,True,False,False,False,False,False,False,False
7.4,12.635,117,7.1,0,False,False,False,True,False,False,False,False,False
7.4,12.635,117,7.1,0,False,False,False,False,False,False,True,False,False
6.9,7.424,77,6.8,0,False,False,False,True,False,False,False,False,False
8.0,18.062,3911,7.742,0,True,False,False,False,False,False,False,False,False
8.0,18.062,3911,7.742,1,False,True,False,False,False,False,False,False,False
8.0,18.062,3911,7.742,1,False,False,False,False,True,False,False,False,False
8.0,18.062,3911,7.742,1,False,False,False,False,False,False,True,False,False
8.0,18.062,3911,7.742,1,False,False,False,False,False,True,False,False,False
7.8,768.016,913,7.048,0,False,False,False,False,False,False,False,True,False
7.8,768.016,913,7.048,0,False,True,False,False,False,False,False,False,False
7.8,768.016,913,7.048,0,False,False,False,False,True,False,False,False,False
7.8,768.016,913,7.048,0,False,False,False,False,False,False,True,False,False
7.8,768.016,913,7.048,0,False,False,False,False,False,True,False,False,False
7.7,21.295,3303,7.629,0,False,False,False,False,True,False,False,False,False
7.4,8.504,390,7.0,0,False,False,False,False,False,True,False,False,False
6.3,2.773,30,5.7,1,False,False,False,False,False,False,False,False,True
6.3,2.773,30,5.7,1,False,False,False,True,False,False,False,False,False
6.3,2.773,30,5.7,0,False,False,False,False,False,False,True,False,False
8.4,61.249,8322,8.271,0,False,False,False,False,False,False,False,True,False
8.4,61.249,8322,8.271,1,False,False,False,True,False,False,False,False,False
8.4,61.249,8322,8.271,0,False,False,False,False,True,False,False,False,False
8.4,61.249,8322,8.271,0,False,False,False,False,False,False,True,False,False
8.4,61.249,8322,8.271,0,False,False,True,False,False,False,False,False,False
7.7,35.272,5445,7.4,0,False,False,False,False,False,False,False,True,False
7.7,35.272,5445,7.4,0,False,False,False,False,False,False,False,False,True
7.7,35.272,5445,7.4,0,False,False,False,False,False,False,True,False,False
7.7,35.272,5445,7.4,0,False,False,True,False,False,False,False,False,False
6.1,5.262,48,5.9,0,False,False,False,True,False,False,False,False,False
7.7,27.233,8314,7.278,0,False,False,False,False,False,False,False,True,False
7.7,27.233,8314,7.278,1,False,False,False,False,False,False,True,False,False
7.7,27.233,8314,7.278,1,False,False,True,False,False,False,False,False,False
6.8,2.328,17,6.1,0,False,False,False,True,False,False,False,False,False
5.7,1.197,2,6.0,0,False,False,False,True,False,False,False,False,False
6.7,11.856,521,6.6,1,False,False,False,True,False,False,False,False,False
6.7,11.856,521,6.6,0,False,False,False,False,True,False,False,False,False
6.7,11.856,521,6.6,1,False,False,False,False,False,False,True,False,False
6.7,11.856,521,6.6,1,False,False,True,False,False,False,False,False,False
7.9,77.01,17926,7.608,0,False,False,False,True,False,False,False,False,False
7.9,77.01,17926,7.608,0,False,False,False,False,True,False,False,False,False
7.9,77.01,17926,7.608,0,False,False,False,False,False,False,True,False,False
7.9,77.01,17926,7.608,0,False,False,True,False,False,False,False,False,False
6.2,3.852,26,6.5,0,False,False,False,True,False,False,False,False,False
6.2,3.852,26,6.5,0,False,False,False,False,False,False,True,False,False
6.9,12.03,431,6.5,0,True,False,False,False,False,False,False,False,False
6.9,12.03,431,6.5,1,False,False,False,False,False,False,False,True,False
6.9,12.03,431,6.5,0,False,False,False,False,False,True,False,False,False
7.7,24.545,3800,7.39,1,True,False,False,False,False,False,False,False,False
7.7,24.545,3800,7.39,0,False,False,False,False,False,False,False,True,False
7.7,24.545,3800,7.39,1,False,True,False,False,False,False,False,False,False
7.7,24.545,3800,7.39,0,False,False,False,False,False,False,True,False,False
7.7,24.545,3800,7.39,0,False,False,False,False,False,True,False,False,False
6.9,16.308,1465,6.948,0,True,False,False,False,False,False,False,False,False
7.3,10.171,271,6.779,0,True,False,False,False,False,False,False,False,False
7.3,10.171,271,6.779,0,False,True,False,False,False,False,False,False,False
7.3,10.171,271,6.779,0,False,False,False,False,True,False,False,False,False
7.3,10.171,271,6.779,0,False,False,False,False,False,False,True,False,False
7.3,10.171,271,6.779,0,False,False,False,False,False,True,False,False,False
7.8,33.435,4258,7.64,0,False,False,False,False,False,False,False,False,True
7.8,33.435,4258,7.64,0,False,False,False,True,False,False,False,False,False
