IMDb_Rating,Popularity,Vote_Average,Category,Winner
7.3,26.9,7.2,3,0
7.3,14.0,7.0,6,0
8.1,57.2,7.9,4,1
7.6,21.2,7.2,3,0
7.0,13.4,7.0,0,0
7.9,4.5,7.1,8,0
6.6,3.6,6.2,3,0
8.7,40.8,8.4,5,0
8.0,13.7,7.5,1,1
8.1,9.0,7.7,8,1
7.9,44.5,7.4,1,1
8.1,22.9,7.9,2,1
7.3,8.9,7.0,0,0
7.0,3.2,7.0,5,0
7.3,13.4,7.1,2,0
7.8,7.4,6.8,2,0
8.2,17.5,8.1,3,0
8.4,24.3,8.3,5,0
7.6,8.9,7.0,4,1
7.3,20.7,7.3,6,0
7.2,9.0,6.8,8,0
