Winner,Category,Genres,Director,Vote_Count,Popularity
False,3,102,510,77,5.627
True,7,193,77,890,12.797
True,1,193,77,890,12.797
True,3,193,77,890,12.797
True,4,193,77,890,12.797
False,6,193,77,890,12.797
True,8,102,228,216,8.774
False,1,136,359,72,8.562
False,8,136,359,72,8.562
True,8,95,282,108,6.865
False,2,95,282,108,6.865
False,0,203,454,12163,67.331
False,6,203,454,12163,67.331
True,2,203,454,12163,67.331
False,3,56,398,70,6.402
False,1,203,231,130,7.08
False,1,76,89,133,10.392
False,7,70,464,1269,9.604
False,1,70,464,1269,9.604
False,2,70,464,1269,9.604
False,0,147,475,3462,20.668
False,8,147,475,3462,20.668
True,0,73,64,1469,10.504
False,8,73,64,1469,10.504
False,4,73,64,1469,10.504
False,6,73,64,1469,10.504
False,2,73,64,1469,10.504
False,4,6,491,233,13.985
False,6,6,491,233,13.985
False,0,95,476,6439,31.009
False,7,106,157,28,5.031
False,7,12,545,6973,25.63
False,6,12,545,6973,25.63
False,2,12,545,6973,25.63
True,0,45,732,162,11.91
False,6,45,732,162,11.91
False,3,30,491,25,2.891
False,3,203,392,13,1.432
False,1,193,538,82,7.153
False,8,102,508,185,10.849
False,1,203,719,3723,26.714
False,8,203,719,3723,26.714
False,3,203,719,3723,26.714
False,2,203,719,3723,26.714
False,1,231,85,3896,26.534
False,8,231,85,3896,26.534
False,0,212,491,5511,31.099
False,7,212,491,5511,31.099
False,3,212,491,5511,31.099
True,4,212,491,5511,31.099
False,5,40,465,48,6.694
False,1,134,475,5900,32.963
False,0,51,631,11469,48.021
True,0,123,188,249,11.395
False,0,203,595,764,12.745
False,1,203,595,764,12.745
False,3,203,595,764,12.745
False,4,203,595,764,12.745
False,6,203,595,764,12.745
False,7,73,695,15804,71.483
False,7,149,442,456,12.75
False,1,212,208,116,5.851
True,4,212,208,116,5.851
True,6,212,208,116,5.851
False,1,149,746,926,17.64
False,0,171,467,90,6.688
False,7,171,467,90,6.688
False,3,171,467,90,6.688
False,1,73,121,4182,21.668
False,3,73,121,4182,21.668
False,0,71,592,1090,18.98
False,1,102,620,14,0.803
False,7,81,290,922,17.595
False,4,81,290,922,17.595
True,6,81,290,922,17.595
True,5,81,290,922,17.595
False,7,71,508,1493,17.95
True,0,215,581,103,6.808
False,3,179,364,132,9.005
False,7,91,610,2633,19.547
False,1,91,610,2633,19.547
False,8,91,610,2633,19.547
True,8,91,610,2633,19.547
False,3,91,610,2633,19.547
False,4,91,610,2633,19.547
True,6,91,610,2633,19.547
False,2,91,610,2633,19.547
False,0,203,585,320,9.481
True,1,203,585,320,9.481
False,8,203,585,320,9.481
False,6,203,585,320,9.481
False,2,203,585,320,9.481
False,3,216,19,7175,36.534
False,2,216,19,7175,36.534
False,5,203,463,417,10.948
False,0,198,640,3858,29.814
False,1,198,640,3858,29.814
False,3,198,640,3858,29.814
False,4,198,640,3858,29.814
False,6,198,640,3858,29.814
True,5,198,640,3858,29.814
False,1,203,428,3293,15.065
False,8,203,428,3293,15.065
False,6,203,428,3293,15.065
False,2,203,428,3293,15.065
False,0,225,752,129,9.768
False,1,225,752,129,9.768
False,3,225,752,129,9.768
False,4,225,752,129,9.768
True,6,225,752,129,9.768
False,1,212,468,27,2.864
False,7,80,641,2210,22.729
False,0,194,536,5571,29.191
False,3,194,536,5571,29.191
False,4,194,536,5571,29.191
True,5,194,536,5571,29.191
False,3,134,200,7486,47.008
False,4,134,200,7486,47.008
False,2,134,200,7486,47.008
True,7,133,643,787,13.366
False,1,102,354,32,4.835
True,3,76,99,82,8.193
False,6,76,99,82,8.193
False,0,76,394,754,29.747
True,3,76,394,754,29.747
False,6,76,394,754,29.747
False,8,216,695,4247,35.512
True,3,216,695,4247,35.512
False,4,216,695,4247,35.512
False,7,203,508,3453,24.326
False,8,203,508,3453,24.326
True,1,77,487,257,11.622
False,3,77,487,257,11.622
False,6,77,487,257,11.622
False,2,77,487,257,11.622
True,7,103,641,1290,14.807
True,7,99,671,2279,36.013
True,6,99,671,2279,36.013
True,2,99,671,2279,36.013
False,0,51,42,1792,24.255
True,8,51,42,1792,24.255
False,3,51,42,1792,24.255
False,3,191,552,1476,12.383
False,4,191,552,1476,12.383
False,7,19,496,5660,30.622
True,7,203,287,37,6.156
True,1,203,139,34,2.563
False,8,203,139,34,2.563
False,7,149,253,5,1.405
False,1,95,278,23,3.84
False,8,95,278,23,3.84
False,8,95,278,23,3.84
False,3,95,278,23,3.84
False,7,213,7,66,4.294
True,0,212,268,188,10.433
False,7,212,268,188,10.433
True,1,212,268,188,10.433
False,8,212,268,188,10.433
False,4,212,268,188,10.433
False,6,212,268,188,10.433
True,5,212,268,188,10.433
False,0,198,181,1064,255.206
False,8,198,181,1064,255.206
False,6,198,181,1064,255.206
False,2,198,181,1064,255.206
False,0,149,752,14,2.075
False,0,174,118,21,3.12
False,0,142,699,1439,21.215
True,7,142,699,1439,21.215
True,1,203,658,27,4.155
False,3,26,605,11,2.143
False,1,149,604,32,2.891
False,1,102,332,37,3.618
False,5,102,332,37,3.618
False,3,116,106,89,6.485
False,7,142,546,3492,24.333
False,4,142,546,3492,24.333
True,6,142,546,3492,24.333
True,5,142,546,3492,24.333
True,0,191,663,1059,11.92
False,8,191,663,1059,11.92
False,7,28,652,7484,55.902
True,3,202,292,692,11.824
False,4,202,292,692,11.824
False,6,202,292,692,11.824
False,7,95,764,878,8.763
False,4,95,764,878,8.763
False,5,95,764,878,8.763
False,1,95,88,62,4.813
False,8,95,88,62,4.813
False,2,95,88,62,4.813
False,7,80,474,23,2.763
False,8,80,474,23,2.763
False,7,136,182,138,15.296
False,8,136,182,138,15.296
False,4,136,182,138,15.296
False,6,136,182,138,15.296
True,3,3,36,3233,25.413
False,4,3,36,3233,25.413
False,6,3,36,3233,25.413
False,2,3,36,3233,25.413
False,7,76,592,211,9.024
True,0,51,493,61,7.308
False,0,98,335,766,13.085
True,0,74,334,8505,24.949
True,7,74,334,8505,24.949
False,6,74,334,8505,24.949
False,5,74,334,8505,24.949
False,8,203,452,602,27.154
False,0,55,416,4272,43.628
False,7,55,416,4272,43.628
False,8,55,416,4272,43.628
True,3,55,416,4272,43.628
True,4,55,416,4272,43.628
True,6,55,416,4272,43.628
True,2,55,416,4272,43.628
True,1,203,20,49,4.687
False,1,203,686,1167,19.549
False,8,203,686,1167,19.549
False,6,203,686,1167,19.549
True,2,203,686,1167,19.549
False,0,126,521,88,9.702
False,1,203,180,141,5.28
False,6,203,180,141,5.28
True,0,223,348,5120,25.776
False,3,223,348,5120,25.776
False,6,223,348,5120,25.776
True,1,203,378,130,9.304
False,4,203,378,130,9.304
False,6,203,378,130,9.304
True,5,203,378,130,9.304
False,3,223,763,2240,29.132
False,4,223,763,2240,29.132
False,2,223,763,2240,29.132
False,5,125,300,756,11.462
False,3,154,276,61,6.066
False,4,207,210,55,4.307
False,6,45,231,68,8.822
False,8,102,213,597,10.269
False,4,102,213,597,10.269
False,5,102,213,597,10.269
True,3,203,708,1028,17.706
False,0,203,74,192,8.627
False,1,203,74,192,8.627
False,8,136,762,126,7.502
False,3,136,762,126,7.502
False,6,136,762,126,7.502
False,0,134,717,1354,23.091
True,1,134,717,1354,23.091
False,4,134,717,1354,23.091
False,0,95,569,11427,63.938
False,4,95,569,11427,63.938
False,6,95,569,11427,63.938
True,5,95,569,11427,63.938
False,0,149,427,16,2.551
False,7,149,427,16,2.551
False,8,149,427,16,2.551
False,3,149,427,16,2.551
False,6,223,27,44,3.614
False,5,88,764,968,13.613
False,4,53,355,1603,14.153
False,6,53,355,1603,14.153
True,5,125,740,70,7.629
False,3,211,163,20,4.114
False,1,136,762,142,6.224
False,8,136,762,142,6.224
False,4,136,762,142,6.224
False,1,102,210,37,3.972
False,7,14,747,938,14.388
False,3,14,747,938,14.388
False,5,73,477,30,2.479
False,5,95,56,282,13.959
False,5,142,686,447,8.812
True,0,76,20,20,3.718
False,6,76,20,20,3.718
False,6,32,518,9563,45.485
False,2,32,518,9563,45.485
False,3,212,491,28,8.254
False,5,102,92,22,3.64
False,0,102,577,470,9.154
False,4,102,577,470,9.154
True,5,102,577,470,9.154
True,7,107,579,26444,69.558
False,3,107,579,26444,69.558
False,6,107,579,26444,69.558
True,5,107,579,26444,69.558
False,7,95,680,1789,19.364
False,5,95,680,1789,19.364
False,3,37,598,180,12.13
False,6,37,598,180,12.13
False,7,212,153,1155,28.637
True,3,212,153,1155,28.637
False,4,212,153,1155,28.637
False,6,212,153,1155,28.637
False,0,203,762,129,6.578
False,8,203,762,129,6.578
False,4,203,762,129,6.578
False,6,203,762,129,6.578
False,0,73,675,2994,19.9
False,7,73,675,2994,19.9
False,4,73,675,2994,19.9
False,6,73,675,2994,19.9
True,5,73,675,2994,19.9
False,6,103,2,8372,33.072
False,5,103,2,8372,33.072
False,2,73,507,4462,24.077
