Category,Genres,Director,Vote_Count,Popularity,Winner
4,89,764,622,9.952,False
3,149,55,7076,30.707,False
6,225,245,698,18.873,False
6,203,762,249,9.002,False
0,77,509,4279,28.892,True
6,125,764,3911,18.062,True
0,217,368,7940,51.292,False
4,95,764,878,8.763,False
8,89,764,622,9.952,True
8,178,697,26,2.581,False
0,34,208,339,15.0,False
0,76,40,352,10.594,False
2,177,533,2132,26.106,False
3,172,117,13,4.39,False
3,191,260,39,3.316,False
3,102,206,405,11.872,False
6,179,324,112,8.398,False
6,225,378,1423,18.066,True
8,88,327,2566,24.992,False
6,188,240,81,7.219,False
5,97,554,3666,26.899,False
0,149,18,1240,11.276,False
1,149,218,178,13.556,False
0,77,20,16,2.338,False
6,102,762,2063,26.838,False
6,135,207,17741,99.83,False
6,82,512,17128,81.408,False
4,76,7,1832,16.011,False
8,89,389,1607,21.007,True
7,218,721,7842,38.203,False
0,172,550,2970,21.326,False
0,102,740,205,10.24,False
1,172,30,1366,24.637,False
6,50,153,338,12.456,False
2,197,165,17926,77.01,False
6,191,498,667,12.45,False
5,102,500,2441,25.223,False
6,95,569,11427,63.938,False
8,136,491,400,9.745,False
6,100,449,183,10.489,False
6,107,579,26444,69.558,False
3,23,609,5788,53.98,False
8,74,68,363,7.834,False
8,83,218,147,10.047,True
4,3,762,2795,57.206,True
1,203,686,1167,19.549,False
3,88,282,1636,41.262,False
0,149,386,4270,23.087,True
3,212,184,2594,32.491,True
0,76,561,183,7.799,False
3,48,659,190,11.123,False
1,149,394,1550,17.733,False
3,51,286,244,7.855,False
4,102,231,166,9.544,False
7,73,695,15804,71.483,False
4,162,198,330,10.638,False
5,102,448,1489,11.506,False
4,225,378,1423,18.066,True
3,223,533,4587,44.505,False
3,149,273,27,2.636,False
3,83,153,3058,31.092,True
7,73,344,1764,16.69,False
6,102,507,2711,32.03,False
2,149,472,3468,43.867,False
5,136,231,67,4.947,False
6,142,694,2171,18.628,False
0,92,742,468,9.338,False
8,193,610,594,11.093,False
5,212,535,435,10.582,False
4,203,319,764,17.08,False
7,106,101,3404,25.272,False
5,223,452,661,13.568,False
4,134,203,20958,176.205,False
3,178,538,42,6.142,False
3,49,106,18,2.265,False
8,149,644,45,5.771,False
4,194,536,5571,29.191,False
5,223,533,4587,44.505,False
4,149,508,834,18.296,False
4,48,684,2851,26.265,False
7,140,91,10497,62.334,True
6,203,361,3090,21.733,False
