Popularity,Vote_Average,IMDb_Rating,Genres,Director
3.6,5.8,6.3,102,92
18.9,6.8,7.1,102,764
675.2,6.9,8.0,227,384
6.5,7.0,7.1,195,675
10.8,7.2,7.6,149,370
19.5,7.1,7.2,91,610
7.0,7.4,7.5,157,474
4.0,6.3,6.6,196,359
15.0,7.1,7.3,74,237
6.6,6.3,7.0,76,16
2.6,6.6,7.3,203,511
7.8,7.1,7.8,76,561
19.0,8.3,8.6,142,386
31.9,7.2,7.2,23,637
21.1,7.3,7.5,203,504
32.7,7.7,8.0,76,722
9.9,7.2,7.5,76,264
12.8,6.3,6.8,102,747
19.7,6.9,6.9,149,662
13.4,7.1,7.4,142,525
10.0,7.3,7.7,121,469
18.3,6.8,7.3,48,153
2.2,6.0,6.9,149,293
4.0,6.4,6.5,78,482
8.8,7.1,7.6,194,27
4.5,6.5,7.0,149,735
21.6,7.2,7.4,212,42
12.8,7.2,7.5,53,612
20.0,7.8,8.1,73,723
43.6,7.8,8.0,55,416
25.3,8.3,8.4,106,101
14.4,6.2,6.7,121,740
57.3,7.4,7.6,137,475
25.6,7.5,7.8,12,545
4.4,6.1,6.8,184,44
36.4,7.5,8.0,53,184
21.3,7.1,7.1,172,550
13.0,6.6,6.7,8,486
7.9,7.2,7.5,212,755
10.8,6.7,6.9,188,229
108.1,8.6,9.0,76,695
11.5,6.6,6.7,23,538
16.3,7.2,7.6,95,613
18.5,7.5,7.6,149,488
4.5,7.1,7.9,152,245
23.9,7.5,7.7,102,346
14.6,5.8,6.0,64,223
21.5,7.3,7.4,203,550
13.5,7.0,7.6,46,206
25.7,7.8,8.2,140,134
37.6,7.4,7.8,71,2
29.5,7.5,7.8,3,121
6.8,7.2,7.7,102,394
18.0,7.8,8.1,214,675
13.6,7.0,7.2,71,2
8.8,7.1,7.4,212,153
4.1,5.6,6.6,113,278
18.3,7.6,7.5,71,443
8.4,6.8,7.2,95,439
4.5,5.6,7.8,193,313
20.5,7.8,7.7,149,695
6.5,6.6,6.9,203,282
3.4,6.2,6.0,71,642
3.9,6.3,6.7,242,629
22.4,6.8,7.4,88,424
14.8,7.8,8.1,149,364
6.8,6.5,7.0,215,581
95.6,7.9,8.0,99,136
768.0,7.0,7.8,102,665
6.2,7.0,7.5,136,762
71.2,7.8,7.8,2,138
21.7,7.3,7.5,203,361
6.4,6.2,6.6,56,398
23.9,7.3,7.5,3,765
14.3,7.6,7.9,250,762
13.8,6.6,6.8,172,519
38.4,7.7,8.1,234,627
30.6,6.5,6.8,88,544
19.6,7.4,7.5,191,325
29.4,7.3,7.4,95,261
17.7,7.6,7.8,125,231
7.3,6.2,6.5,141,21
69.7,7.7,8.1,230,760
24.7,6.8,6.9,218,3
5.2,6.7,7.0,149,729
3.7,6.4,6.6,121,278
9.7,7.5,7.7,19,370
15.1,7.1,7.4,76,230
13.0,7.0,7.3,78,745
4.4,5.9,6.2,203,329
11.3,7.0,7.1,121,227
35.3,7.4,7.7,48,641
22.9,7.9,8.1,142,186
29.0,7.3,7.5,221,410
13.3,7.3,7.6,76,641
37.1,7.2,7.3,165,263
9.8,8.1,8.1,203,193
19.5,7.1,7.2,91,610
4.0,6.3,6.6,196,359
4.5,6.5,7.5,212,360
41.9,7.6,7.8,73,475
13.3,7.3,7.6,76,641
9.2,6.6,6.9,210,700
4.2,5.5,5.6,118,737
14.7,7.5,7.8,74,344
19.4,6.7,7.0,76,64
