Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
10.7,6.7,7.3,102,320,False
10.7,6.7,7.3,102,320,False
10.7,6.7,7.3,102,320,False
7.3,7.2,7.4,88,764,False
7.3,7.2,7.4,88,764,False
3.1,6.4,6.7,121,647,False
50.9,7.8,7.7,203,36,False
50.9,7.8,7.7,203,36,False
50.9,7.8,7.7,203,36,False
50.9,7.8,7.7,203,36,False
50.9,7.8,7.7,203,36,True
50.9,7.8,7.7,203,36,False
50.9,7.8,7.7,203,36,True
15.8,6.7,7.1,213,164,False
15.8,6.7,7.1,213,164,False
9.3,6.3,6.9,55,182,False
21.7,7.3,7.5,203,361,False
21.7,7.3,7.5,203,361,False
21.7,7.3,7.5,203,361,False
11.2,7.1,7.1,134,699,False
12.0,6.4,6.8,73,56,False
12.0,6.4,6.8,73,56,False
12.0,6.4,6.8,73,56,False
12.0,6.4,6.8,73,56,False
12.0,6.4,6.8,73,56,False
12.0,6.4,6.8,73,56,False
12.0,6.4,6.8,73,56,False
13.5,6.6,7.0,129,642,False
1.5,6.5,6.3,140,196,False
10.0,7.1,7.4,89,764,False
10.0,7.1,7.4,89,764,False
10.0,7.1,7.4,89,764,True
10.0,7.1,7.4,89,764,False
10.0,7.1,7.4,89,764,False
12.8,6.3,6.8,102,747,False
10.6,6.1,6.4,95,398,False
22.9,7.6,8.0,73,239,True
22.9,7.6,8.0,73,239,False
22.9,7.6,8.0,73,239,False
7.4,6.3,6.4,210,139,True
7.4,6.3,6.4,210,139,False
5.6,6.8,7.2,102,510,True
5.6,6.8,7.2,102,510,False
12.8,7.4,7.8,193,77,True
12.8,7.4,7.8,193,77,True
12.8,7.4,7.8,193,77,True
12.8,7.4,7.8,193,77,True
12.8,7.4,7.8,193,77,False
8.8,7.1,7.2,102,228,True
8.6,7.1,7.6,136,359,False
8.6,7.1,7.6,136,359,False
6.9,5.8,6.2,95,282,True
6.9,5.8,6.2,95,282,False
67.3,8.1,7.8,203,454,False
67.3,8.1,7.8,203,454,False
67.3,8.1,7.8,203,454,True
6.4,6.2,6.6,56,398,False
7.1,7.0,7.3,203,231,False
10.4,6.8,7.3,76,89,False
9.6,6.8,7.1,70,464,False
9.6,6.8,7.1,70,464,False
9.6,6.8,7.1,70,464,False
20.7,7.3,7.3,147,475,False
20.7,7.3,7.3,147,475,False
10.5,7.0,7.3,73,64,True
10.5,7.0,7.3,73,64,False
10.5,7.0,7.3,73,64,False
10.5,7.0,7.3,73,64,False
10.5,7.0,7.3,73,64,False
14.0,7.2,7.7,6,491,False
14.0,7.2,7.7,6,491,False
31.0,7.9,7.8,95,476,False
5.0,6.5,7.0,106,157,False
25.6,7.5,7.8,12,545,False
25.6,7.5,7.8,12,545,False
25.6,7.5,7.8,12,545,False
11.9,7.5,7.9,45,732,True
11.9,7.5,7.9,45,732,False
2.9,6.5,6.4,30,491,False
1.4,6.5,6.9,203,392,False
7.2,6.0,6.7,193,538,False
10.8,6.6,7.0,102,508,False
26.7,7.5,7.2,203,719,False
26.7,7.5,7.2,203,719,False
26.7,7.5,7.2,203,719,False
26.7,7.5,7.2,203,719,False
26.5,7.3,7.4,231,85,False
26.5,7.3,7.4,231,85,False
31.1,8.2,8.5,212,491,False
31.1,8.2,8.5,212,491,False
31.1,8.2,8.5,212,491,False
31.1,8.2,8.5,212,491,True
6.7,6.3,6.6,40,465,False
33.0,8.0,8.2,134,475,False
48.0,7.7,7.8,51,631,False
11.4,6.4,6.8,123,188,True
12.7,7.7,7.9,203,595,False
12.7,7.7,7.9,203,595,False
12.7,7.7,7.9,203,595,False
12.7,7.7,7.9,203,595,False
12.7,7.7,7.9,203,595,False
71.5,8.0,8.1,73,695,False
12.8,6.5,6.6,149,442,False
5.9,5.5,5.8,212,208,False
5.9,5.5,5.8,212,208,True
5.9,5.5,5.8,212,208,True
17.6,8.1,8.0,149,746,False
6.7,6.6,7.3,171,467,False
6.7,6.6,7.3,171,467,False
6.7,6.6,7.3,171,467,False
21.7,7.6,7.7,73,121,False
21.7,7.6,7.7,73,121,False
19.0,7.4,7.5,71,592,False
0.8,5.7,6.0,102,620,False
17.6,6.8,7.1,81,290,False
17.6,6.8,7.1,81,290,False
17.6,6.8,7.1,81,290,True
17.6,6.8,7.1,81,290,True
18.0,6.5,7.0,71,508,False
6.8,6.5,7.0,215,581,True
9.0,6.7,6.7,179,364,False
19.5,7.1,7.2,91,610,False
19.5,7.1,7.2,91,610,False
19.5,7.1,7.2,91,610,False
19.5,7.1,7.2,91,610,True
19.5,7.1,7.2,91,610,False
19.5,7.1,7.2,91,610,False
19.5,7.1,7.2,91,610,True
19.5,7.1,7.2,91,610,False
9.5,6.9,7.2,203,585,False
9.5,6.9,7.2,203,585,True
9.5,6.9,7.2,203,585,False
9.5,6.9,7.2,203,585,False
9.5,6.9,7.2,203,585,False
36.5,7.6,7.9,216,19,False
36.5,7.6,7.9,216,19,False
10.9,8.1,8.3,203,463,False
29.8,7.9,8.2,198,640,False
29.8,7.9,8.2,198,640,False
29.8,7.9,8.2,198,640,False
29.8,7.9,8.2,198,640,False
29.8,7.9,8.2,198,640,False
29.8,7.9,8.2,198,640,True
15.1,7.0,7.2,203,428,False
15.1,7.0,7.2,203,428,False
