Year,Category,Film,Film_ID,Nominee,Winner,TMDb_ID,Popularity,Vote_Count,Vote_Average,Genres,Director,IMDb_Rating
1947,Best Actress,Possessed,tt0039725,Joan Crawford,False,20849,6.57,80,6.844,,Curtis Bernhardt,7.1
1990,Best Actress,Postcards from the Edge,tt0100395,Meryl Streep,False,22414,8.627,271,6.603,,Mike Nichols,6.7
2009,Best Actress,Precious: Based on the Novel 'Push' by Sapphire,tt0929632,Gabourey Sidibe,False,25793,20.957,1634,7.316,,Lee Daniels,7.3
2009,Best Supporting Actress,Precious: Based on the Novel 'Push' by Sapphire,tt0929632,Mo'Nique,True,25793,20.957,1634,7.316,,Lee Daniels,7.3
2009,Best Director,Precious: Based on the Novel 'Push' by Sapphire,tt0929632,Lee Daniels,False,25793,20.957,1634,7.316,,Lee Daniels,7.3
2009,Best Picture,Precious: Based on the Novel 'Push' by Sapphire,tt0929632,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",False,25793,20.957,1634,7.316,,Lee Daniels,7.3
2009,Best Adapted Screenplay,Precious: Based on the Novel 'Push' by Sapphire,tt0929632,Screenplay by Geoffrey Fletcher,True,25793,20.957,1634,7.316,,Lee Daniels,7.3
1990,Best Actress,Pretty Woman,tt0100405,Julia Roberts,False,114,68.507,8353,7.467,,Garry Marshall,7.1
2005,Best Actress,Pride & Prejudice,tt0414387,Keira Knightley,False,4348,77.766,8102,8.1,,Joe Wright,7.8
1996,Best Supporting Actor,Primal Fear,tt0117381,Edward Norton,False,1592,23.083,3420,7.7,,Gregory Hoblit,7.7
1998,Best Supporting Actress,Primary Colors,tt0119942,Kathy Bates,False,9440,10.568,314,6.293,,Mike Nichols,6.7
